what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1405587948136
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1405587948137
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1405587948138
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1405587948138
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1405587948139
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1405587948140
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1405587948141
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1405587948142
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1405587948143
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1405587948144
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1405587948145
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1405587948145
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1405587948147
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1405587948148
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1405587948150
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1405587948151
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1405587948151
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1405587948152
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1405587948152
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1405587948153
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1405587948154
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1405587948154
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1405587948155
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1405587948156
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1405587948156
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1405587948157
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1405587948158
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1405587948158
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1405587948159
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1405587948160
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1405587948162
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1405587948162
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1405587948163
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1405587948163
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1405587948165
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1405587948167
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1405587948167
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1405587948168
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1405587948169
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1405587948170
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1405587948171
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1405587948171
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1405587948172
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1405587948173
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1405587948174
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1405587948175
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1405587948176
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1405587948177
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1405587948178
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1405587948179
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1405587948179
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1405587948180
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1405587948181
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1405587948183
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1405587948183
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1405587948185
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1405587948185
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1405587948188
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1405587948189
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1405587948189
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1405587948190
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1405587948190
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1405587948191
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1405587948192
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1405587948193
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1405587948194
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1405587948195
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1405587948197
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1405587948198
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1405587948199
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1405587948200
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1405587948201
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1405587948201
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1405587948202
started,bundle,com.ibm.team.build.ui,2.0.2.I200911021946,"com.ibm.team.build.ui",1405587948226
started,bundle,com.ibm.team.collaboration.rcp.core,1.0.0.I200905221749,"com.ibm.team.collaboration.rcp.core",1405587948228
started,bundle,com.ibm.team.collaboration.rcp.ui,1.0.1.I200909021705,"com.ibm.team.collaboration.rcp.ui",1405587948230
started,bundle,com.ibm.team.feed.core,1.0.2.I201002181704,"com.ibm.team.feed.core",1405587948231
started,bundle,com.ibm.team.feed.ui,1.0.2.I200912011528,"com.ibm.team.feed.ui",1405587948232
started,bundle,com.ibm.team.filesystem.cli.client,2.0.2.I201005061337,"com.ibm.team.filesystem.cli.client",1405587948233
started,bundle,com.ibm.team.filesystem.cli.core,2.0.2.I201007081345,"com.ibm.team.filesystem.cli.core",1405587948235
started,bundle,com.ibm.team.filesystem.client,2.0.2.I201007292044,"com.ibm.team.filesystem.client",1405587948237
started,bundle,com.ibm.team.filesystem.common,2.0.2.I201007061829,"com.ibm.team.filesystem.common",1405587948258
started,bundle,com.ibm.team.filesystem.ide.ui,2.0.2.I201007292044,"com.ibm.team.filesystem.ide.ui",1405587948261
started,bundle,com.ibm.team.filesystem.rcp.core,2.0.2.I201007292044,"com.ibm.team.filesystem.rcp.core",1405587948265
started,bundle,com.ibm.team.filesystem.rcp.ui,2.0.2.I200911252221,"com.ibm.team.filesystem.rcp.ui",1405587948287
started,bundle,com.ibm.team.filesystem.rcp.ui.workitems,2.0.2.I200912012019,"com.ibm.team.filesystem.rcp.ui.workitems",1405587948288
started,bundle,com.ibm.team.foundation.common,1.0.2.I200912011528,"com.ibm.team.foundation.common",1405587948290
started,bundle,com.ibm.team.foundation.rcp.core,1.0.2.I200912011528,"com.ibm.team.foundation.rcp.core",1405587948292
started,bundle,com.ibm.team.foundation.rcp.ui,1.0.0.I200906030943,"com.ibm.team.foundation.rcp.ui",1405587948293
started,bundle,com.ibm.team.interop.common,2.0.1.I200909012238,"com.ibm.team.interop.common",1405587948295
started,bundle,com.ibm.team.javalogging.ui,1.0.2.I200910052001,"com.ibm.team.javalogging.ui",1405587948301
started,bundle,com.ibm.team.jface,1.0.2.I200912011528,"com.ibm.team.jface",1405587948303
started,bundle,com.ibm.team.log4j.ui,1.0.2.I200910052001,"com.ibm.team.log4j.ui",1405587948309
started,bundle,com.ibm.team.metronome,2.0.2.I200910232005,"com.ibm.team.metronome",1405587948310
started,bundle,com.ibm.team.process.common,1.0.200.I201005101625,"com.ibm.team.process.common",1405587948312
started,bundle,com.ibm.team.process.rcp.ui,1.0.100.I201008311925,"com.ibm.team.process.rcp.ui",1405587948313
started,bundle,com.ibm.team.repository.client,1.0.2.I201009021352,"com.ibm.team.repository.client",1405587948315
started,bundle,com.ibm.team.repository.common,1.0.2.I201008190402,"com.ibm.team.repository.common",1405587948317
started,bundle,com.ibm.team.repository.common.remoteaccess,1.0.2.I201008120202,"com.ibm.team.repository.common.remoteaccess",1405587948319
started,bundle,com.ibm.team.repository.common.serialize,1.0.2.I200910242001,"com.ibm.team.repository.common.serialize",1405587948320
started,bundle,com.ibm.team.repository.rcp.common,2.0.0.I201001291657,"com.ibm.team.repository.rcp.common",1405587948322
started,bundle,com.ibm.team.repository.rcp.core,2.0.0.I200905272057,"com.ibm.team.repository.rcp.core",1405587948325
started,bundle,com.ibm.team.repository.rcp.ui,2.0.1.I200909031824,"com.ibm.team.repository.rcp.ui",1405587948328
started,bundle,com.ibm.team.scm.common,2.0.2.I201008042045,"com.ibm.team.scm.common",1405587948330
started,bundle,com.ibm.team.workitem.client,2.1.0.I200912011601,"com.ibm.team.workitem.client",1405587948331
started,bundle,com.ibm.team.workitem.common,2.2.0.I201007291636,"com.ibm.team.workitem.common",1405587948333
started,bundle,com.ibm.team.workitem.rcp.core,2.0.2.I201003121103,"com.ibm.team.workitem.rcp.core",1405587948335
started,bundle,com.ibm.team.workitem.rcp.ui,2.1.0.I201003290841,"com.ibm.team.workitem.rcp.ui",1405587948337
started,bundle,org.eclipse.m2e.discovery,1.4.0.20130601-0317,"org.eclipse.m2e.discovery",1405587948338
os,sysinfo,,,"win32",1405587948342
arch,sysinfo,,,"x86_64",1405587948342
ws,sysinfo,,,"win32",1405587948342
locale,sysinfo,,,"en_US",1405587948342
processors,sysinfo,,,"4",1405587948342
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1405587948342
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1405587948342
java.specification.name,sysinfo,,,"Java Platform API Specification",1405587948342
java.specification.vendor,sysinfo,,,"Oracle Corporation",1405587948342
java.specification.version,sysinfo,,,"1.8",1405587948342
java.vendor,sysinfo,,,"Oracle Corporation",1405587948342
java.version,sysinfo,,,"1.8.0_05",1405587948342
java.vm.info,sysinfo,,,"mixed mode",1405587948342
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1405587948342
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1405587948342
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1405587948342
java.vm.specification.version,sysinfo,,,"1.8",1405587948342
java.vm.vendor,sysinfo,,,"Oracle Corporation",1405587948342
java.vm.version,sysinfo,,,"25.5-b02",1405587948342
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405587951749
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405587951756
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1405587951785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405587962288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405587967347
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405587967436
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1405587967837
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1405587967842
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1405587968108
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1405587968109
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1405587968110
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1405587968111
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1405587968112
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1405587968113
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1405587968114
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1405587968114
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1405587968115
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1405587968116
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1405587968117
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1405587968119
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1405587968120
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1405587968122
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1405587968123
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1405587968125
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1405587968126
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1405587968127
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1405587968128
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1405587968129
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1405587968130
